file,cvc5_channeled,cvc5_preprocess,opti_channeled,opti_preprocess,z3_channeled,z3_preprocess
4.json,0=None,0=None,0=None,0=None,0=None,0=None
6.json,0=6,0=6,0=6,0=6,0=6,0=6
8.json,2=8,4=8,2=8,0=8,0=8,0=8
10.json,6=10,3=10,300=32,0=10,3=10,1=10
12.json,73=12,11=12,300=18,1=12,89=12,1=12
14.json,300=46,255=14,300=None,13=14,300=28,4=14
16.json,300=None,300=None,300=None,58=16,300=22,59=16
18.json,300=None,300=None,300=None,300=20,300=60,235=18
20.json,300=None,300=None,300=None,300=None,300=None,300=None
22.json,300=None,301=None,300=None,301=None,300=None,301=None
